POP,Fan 1,Fan 2,Fan 3,Fan 4
STGP038,63,61,61,0
VLGP037,48,48,48,0
TVHP006,50,50,50,0
TVHP012,48,48,49,0
TGGP025,50,62,52,0
STGP019,58,57,55,0
TNHP033,48,48,48,0
TNHP026,61,64,65,0
TGGP006,49,48,49,0
TGGP009,56,48,48,0
STGP039,59,56,70,0
TNHP044,49,49,60,0
TNHP039,49,48,48,0
TGGP029,51,51,51,0
TNHP007,48,49,48,0
TNHP037,61,48,58,0
TVHP004,48,47,48,0
TGGP001,0,0,0,0
TGGP027,49,49,47,0
VLGP036,49,48,48,0
TNHP018,58,58,78,0
VLGP003,48,48,48,0
TGGP018,8,47,47,0
TNHP027,48,48,48,0
TGGP019,0,0,0,0
TGGP011,55,55,55,0
TGGP028,50,49,51,0
STGP023,66,68,61,0
TGGP008,42,42,42,0
STGP028,53,54,53,0
TVHP003,57,57,57,0
TGGP003,48,48,6,0
TVHP002,49,49,49,0
TNHP036,48,48,48,0
STGP032,49,48,49,0
TNHP035,47,76,48,0
TNHP021,50,52,50,0
VLGP027,49,49,48,0
TGGP031,48,48,48,0
TNHP031,48,48,48,0
TGGP024,50,50,50,0
HNIP425,0,0,0,0
HNIP649,0,0,0,0
HNIP762,0,0,0,0
BGGP077,0,0,0,0
TQGP004,0,0,0,0
OPMS_LA,0,0,0,0
AGGP041,59,60,59,0
HNIP595,47,47,47,0
DNIP065,48,48,48,0
HCMP688,49,49,49,0
QNHP045,0,0,0,0
VLGP039,51,51,51,0
LSNP018,0,0,0,0
VLGP004,0,0,0,0
HDGP092,0,0,0,0
BTNP049,49,49,49,0
TBHP042,48,48,49,0
BTNP021,50,48,55,0
VLGP025,51,51,50,0
VLGP031,49,49,49,0
HCMP092,48,49,48,0
NDHP035,48,47,47,0
LANP031,49,55,49,0
VLGP034,48,48,48,0
VLGP026,85,84,87,0
GLIP039,47,48,57,0
VLGP038,57,57,57,0
VLGP033,50,51,49,0
HNIP353,48,48,22,0
HNIP383,48,48,49,0
HCMP572,45,49,40,0
HCMP041,48,48,48,0
HNIP214,47,48,47,0
HCMP539,0,0,0,0
GLIP025,49,48,49,0
VLGP032,48,48,48,0
HDGP043,55,55,54,0
HNIP571,0,0,0,0
QNIP008,0,0,0,0
STGP033,50,100,50,0
QNHP112,0,0,0,0
VLGP030,50,49,49,0
HNIP531,55,57,56,0
HNIP413,49,49,49,0
BTNP005,48,49,53,0
TBHP039,0,0,0,0
QNHP121,0,0,0,0
HPGP059,47,47,47,0
NDHP034,48,49,48,0
HNIP406,49,48,48,0
TBHP018,0,0,0,0
HNIP534,0,0,0,0
QNHP104,0,0,0,0
HNIP656,0,0,0,0
TBHP027,0,0,0,0
HNIP429,0,0,0,0
CTOP066,0,0,0,0
HCMP008,54,53,57,0
BGGP035,55,54,55,0
NTGP008,48,48,48,0
HCMP509,44,44,44,0
QNHP096,49,48,48,0
HNIP694,45,45,45,0
HUEP130,49,50,50,0
NANP072,0,0,0,0
QNHP061,21,48,48,0
NANP077,48,48,48,0
HCMP498,44,44,43,0
HNIP433,0,0,0,0
HNIP497,49,47,48,0
HUEP124,0,51,50,0
YBIP009,0,0,0,0
HCMP684,47,49,50,0
HCMP457,47,48,47,0
LANP011,56,48,48,0
QNHP013,0,0,0,0
HCMP656,49,48,48,0
HNIP757,49,49,49,0
HNIP396,0,0,0,0
LANP005,48,48,48,0
HCMP604,52,52,53,0
HCMP568,49,48,48,0
BGGP032,49,8,49,0
DTPP012,48,48,48,0
LANP030,50,50,50,0
HCMP595,54,47,45,0
HCMP560,55,46,47,0
HCMP566,48,48,48,0
BRUP014,49,48,49,0
HCMP510,48,48,49,0
HCMP712,56,56,57,0
KTMP021,48,47,47,0
HCMP526,47,48,47,0
HCMP630,49,50,50,0
HCMP009,47,50,47,0
HNIP758,48,48,48,0
HCMP548,47,48,48,0
HCMP600,46,49,48,0
BDGP074,50,0,0,0
BRUP064,62,62,15,0
HNIP324,0,0,0,0
QNHP100,0,0,0,0
HNIP189,0,0,0,0
QNHP056,0,0,0,0
QNHP065,49,49,49,0
HCMP710,57,56,55,0
HCMP711,56,56,54,0
HNIP045,0,0,0,0
HGGP019,48,48,57,0
HCMP487,48,47,48,0
HCMP720,57,56,55,0
HCMP694,42,0,42,0
HNIP260,0,0,0,0
HDGP040,20,54,54,0
NTGP034,57,57,57,0
HCMP718,55,56,55,0
QNHP053,47,47,48,0
HNIP739,48,48,48,0
NTGP045,48,48,48,0
HNIP487,48,48,49,0
BRUP086,48,48,48,0
HCMP704,56,56,57,0
HCMP506,0,0,0,0
SLAP001,68,68,68,0
HCMP695,39,39,48,48
HDGP082,0,0,0,0
HCMP717,54,54,54,0
NTGP056,49,49,49,0
HCMP693,56,56,56,0
HCMP654,48,48,48,0
NDHP040,48,47,47,0
HCMP680,56,57,56,0
HNIP420,47,47,47,0
HCMP716,57,56,56,0
HCMP521,57,56,56,0
NTGP066,58,50,50,0
HNIP732,49,48,48,0
HNIP160,0,0,0,0
HNIP578,0,0,0,0
HNIP364,48,48,48,0
STGP024,46,45,45,0
HNIP187,0,0,0,0
SLAP008,75,74,73,0
HNIP128,49,49,48,0
HDGP024,53,52,52,0
HNIP252,47,46,46,0
HNIP492,49,49,49,0
HCMP497,59,38,38,38
HCMP719,56,55,57,0
HCMP106,56,55,56,0
HNIP352,0,0,0,0
test222,0,0,0,0
HNIP467,0,0,0,0
HCMP078,56,55,55,0
HCMP724,0,57,56,0
HCMP518,51,51,50,0
NTGP030,56,55,55,0
KGGP021,48,48,49,0
DNIP089,48,48,48,0
HCMP671,57,56,57,0
NTGP009,0,0,0,0
BRUP001,48,48,49,0
HNIP504,0,7,0,0
DNGP005,48,23,49,0
HCMP714,56,56,55,0
HUEP104,55,55,49,0
KGGP020,48,48,48,0
HCMP725,58,58,57,0
DNGP114,50,50,50,0
HCMP628,50,50,50,0
BTNP054,0,0,0,0
HCMP505,56,56,55,0
BRUP084,48,48,49,0
BRUP020,49,49,49,0
HNIP448,47,48,47,0
BDGP043,0,0,0,0
HNIP444,49,49,57,0
NTGP032,53,57,56,0
HCMP662,42,42,43,0
HCMP271,52,51,52,0
HCMP715,56,58,56,0
HUEP094,0,0,0,0
HNIP505,46,46,46,0
LANP029,57,58,50,0
HNIP508,54,54,53,0
HNIP202,46,47,47,0
TGGP012,50,49,50,0
BNHP007,45,45,45,0
BRUP077,0,0,0,0
HNIP390,48,48,48,0
NTGP022,0,0,0,0
DNGP157,72,72,71,0
HCMP488,47,47,48,0
HCMP476,48,48,48,0
HNIP549,56,56,56,0
HNIP394,45,46,45,0
HNIP445,47,46,46,0
AGGP003,48,51,50,0
BRUP002,0,0,0,0
LDGP055,0,0,0,0
BNHP061,0,0,0,0
HPGP072,0,0,0,0
HNIP098,0,0,0,0
PYNP018,0,0,0,0
MP002MP,0,0,0,0
BNHP039,0,0,0,0
HNIP751,0,0,0,0
HNIP486,50,53,53,0
HCMP730,55,55,56,0
HNIP316,48,48,48,0
DNGP149,39,38,38,0
HCMP638,55,56,56,0
BRUP076,75,75,75,0
HNIP402,48,49,49,0
HNIP403,48,57,48,0
DNGP121,49,49,49,49
HNMP012,52,53,55,0
HCMP683,57,57,50,0
HNIP494,50,51,50,0
DNGP124,47,48,48,0
DNGP140,49,50,50,0
BDHP023,50,50,50,0
DNGP125,50,48,50,0
NTGP069,60,61,61,0
STGP048,56,58,58,0
DKGP001,55,55,55,0
DNGP139,50,50,50,0
CTOP074,49,55,48,0
NTGP071,56,56,55,0
HNIP422,46,46,46,0
HCMP046,49,48,48,0
NTGP051,0,0,0,0
GLIP007,59,59,59,0
NTGP057,59,50,51,0
DNIP048,58,56,57,0
DNGP132,48,47,49,0
DNIP047,0,0,0,0
GLIP001,42,43,43,0
HCMP637,48,48,49,0
HNIP735,44,44,45,0
NTGP070,48,48,43,0
HCMP706,55,54,54,0
